epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
001,2.010,3.493,2.107,0.133,0.237,0.078,0.042
002,1.631,2.684,1.691,0.195,0.293,0.151,0.089
003,1.555,2.465,1.616,0.229,0.347,0.197,0.120
004,1.508,2.331,1.566,0.267,0.391,0.249,0.156
005,1.471,2.222,1.528,0.291,0.425,0.282,0.182
006,1.448,2.157,1.502,0.306,0.441,0.304,0.197
007,1.434,2.107,1.485,0.317,0.464,0.320,0.210
008,1.422,2.069,1.471,0.321,0.477,0.330,0.216
009,1.411,2.040,1.458,0.330,0.478,0.337,0.222
010,1.406,2.020,1.450,0.336,0.481,0.343,0.227
011,1.396,1.997,1.441,0.334,0.499,0.347,0.230
012,1.393,1.977,1.433,0.338,0.503,0.351,0.233
013,1.389,1.963,1.427,0.338,0.508,0.355,0.236
014,1.383,1.950,1.420,0.340,0.509,0.358,0.238
015,1.377,1.935,1.414,0.345,0.509,0.361,0.241
016,1.377,1.923,1.410,0.345,0.520,0.364,0.243
017,1.370,1.919,1.405,0.343,0.525,0.367,0.245
018,1.368,1.901,1.400,0.348,0.522,0.370,0.247
019,1.364,1.895,1.397,0.352,0.522,0.373,0.250
020,1.363,1.893,1.393,0.353,0.523,0.376,0.252
021,1.361,1.885,1.393,0.358,0.523,0.379,0.254
022,1.362,1.875,1.388,0.361,0.520,0.382,0.257
023,1.356,1.869,1.385,0.361,0.524,0.383,0.258
024,1.356,1.862,1.382,0.366,0.519,0.387,0.260
025,1.356,1.859,1.382,0.369,0.515,0.389,0.263
026,1.354,1.852,1.378,0.370,0.519,0.391,0.264
027,1.352,1.843,1.377,0.371,0.530,0.394,0.266
028,1.348,1.842,1.376,0.374,0.529,0.396,0.268
029,1.348,1.837,1.372,0.377,0.526,0.399,0.269
030,1.347,1.836,1.372,0.380,0.526,0.401,0.271
031,1.345,1.826,1.368,0.381,0.534,0.404,0.273
032,1.346,1.825,1.369,0.382,0.533,0.405,0.274
033,1.346,1.823,1.367,0.381,0.536,0.407,0.275
034,1.344,1.826,1.366,0.382,0.532,0.408,0.276
035,1.344,1.817,1.363,0.384,0.536,0.410,0.277
036,1.343,1.811,1.362,0.385,0.542,0.411,0.278
037,1.343,1.810,1.361,0.389,0.533,0.412,0.279
038,1.343,1.806,1.359,0.395,0.529,0.413,0.281
039,1.340,1.808,1.358,0.396,0.531,0.415,0.282
040,1.340,1.805,1.358,0.394,0.540,0.416,0.283
041,1.336,1.796,1.356,0.396,0.541,0.418,0.284
042,1.340,1.798,1.356,0.397,0.543,0.419,0.284
043,1.336,1.793,1.357,0.397,0.544,0.421,0.285
044,1.335,1.789,1.353,0.398,0.546,0.422,0.286
045,1.335,1.793,1.351,0.398,0.548,0.422,0.287
046,1.335,1.789,1.351,0.400,0.548,0.423,0.288
047,1.331,1.787,1.352,0.399,0.548,0.424,0.288
048,1.331,1.786,1.350,0.399,0.551,0.425,0.289
049,1.332,1.784,1.349,0.399,0.555,0.426,0.290
050,1.332,1.782,1.349,0.401,0.551,0.428,0.291
051,1.333,1.783,1.349,0.403,0.552,0.429,0.292
052,1.329,1.777,1.346,0.403,0.555,0.430,0.292
053,1.329,1.777,1.347,0.406,0.551,0.431,0.293
054,1.329,1.777,1.346,0.403,0.555,0.432,0.293
